,CGM,Prob_Evasao,Resultado.predicted(th=0.34069),CodMec,CodTurma,IRA_1T_22,IPM_1T_22,IRA_2T_22,IPM_2T_22,IRA_3T_22,IPM_3T_22,IRA_MF_22,IPM_MF_22,IRA_1T_23,IPM_1T_23,IRA_2T_23,IPM_2T_23,IRA_3T_23,IPM_3T_23,IRA_MF_23,IPM_MF_23,NumTurmas22,NumTurmas23,NumEscolas22,NumEscolas23,NumDisciplinas22,NumDisciplinas23,Idade,Sexo,DescNre,DescMun,TipoEstab,Distancia,Aprov22,RepFreq22,RepNota22,RepNotaFreq22,SemRegistros22,contrib_Aprov22,contrib_Bairro,contrib_BolsaFamilia,contrib_CepAluno,contrib_CepEscola,contrib_Cgm,contrib_CodEncam,contrib_CodMec,contrib_CodMun,contrib_CodNre,contrib_CodTurma,contrib_CoordX,contrib_CoordY,contrib_DataNasc,contrib_DescEncam,contrib_DescEscola,contrib_DescMun,contrib_DescNre,contrib_Distancia,contrib_IPM_1T_22,contrib_IPM_1T_23,contrib_IPM_2T_22,contrib_IPM_2T_23,contrib_IPM_3T_22,contrib_IPM_3T_23,contrib_IPM_MF_22,contrib_IPM_MF_23,contrib_IRA_1T_22,contrib_IRA_1T_23,contrib_IRA_2T_22,contrib_IRA_2T_23,contrib_IRA_3T_22,contrib_IRA_3T_23,contrib_IRA_MF_22,contrib_IRA_MF_23,contrib_Idade,contrib_Lat,contrib_Long,contrib_MotivoEncerramento,contrib_MotivoFalta,contrib_Num,contrib_NumDisciplinas22,contrib_NumDisciplinas23,contrib_NumEscolas22,contrib_NumEscolas23,contrib_NumTurmas22,contrib_NumTurmas23,contrib_RepFreq22,contrib_RepNota22,contrib_RepNotaFreq22,contrib_Rua,contrib_SemRegistros22,contrib_Serie,contrib_Sexo,contrib_TFM_22,contrib_TFM_23,contrib_TF_1T_22,contrib_TF_1T_23,contrib_TF_2T_22,contrib_TF_2T_23,contrib_TF_3T_22,contrib_TF_3T_23,contrib_TipoEstab,contrib_bias
0,1011582431,0.020452725,0,41029305.0,2007103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.28,8.55,7.99,8.7,8.22,9.5,8.16,8.92,0.0,1.0,0.0,1.0,0.0,11.0,12.0,M,LONDRINA,IBIPORA,NORMAL,7.24,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056690894,0.0,0.0,-0.045162667,0.0,0.0,0.0,0.0,0.0,-0.00021161011,0.025776781,0.016447525,-0.022479434,-0.0038538729,-0.025739007,-0.05656892,0.0035685464,-0.056381144,-0.007630506,-0.28092653,0.008962873,-0.10413447,-0.0034052662,-0.26912907,-0.02914746,-0.29854885,-0.009256358,-0.3630789,-0.100340106,0.0,0.0,0.0,0.0,0.0,-0.00082811416,0.020827144,-0.00919597,-0.038605902,-0.005217831,-0.029094003,0.006663402,-0.004591564,-0.0066141463,0.0,0.002664828,0.0,-0.05452495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005343046,-2.0671852
1,924407603,0.0007478014,0,41031423.0,1834085,8.28,9.25,7.9,7.85,8.91,8.65,8.36,8.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,16.0,Não informado,LONDRINA,LONDRINA,NORMAL,0.83,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20348777,0.0,0.0,-0.05934463,0.0,0.0,0.0,0.0,0.0,0.0026205177,-0.016381593,0.005732572,-0.034856237,-0.038875226,-0.116969444,-0.17534357,-0.049093835,-0.3052545,-0.03997586,-0.5829819,-0.1240642,-0.12536022,0.038704775,-0.47000587,-0.2054218,-0.6958096,0.006914724,-0.7256789,-0.15363018,0.0,0.0,0.0,0.0,0.0,0.003280591,-0.26616976,-0.036047872,-0.39641043,-0.022203363,-0.14085901,-0.008702772,-0.03473018,-0.0058818264,0.0,-0.003011769,0.0,-0.0814795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.069661185,-2.0671852
2,1008732082,0.010405558,0,41029402.0,1989372,7.43,7.6,7.59,6.95,8.0,8.75,7.67,7.77,9.06,9.1,8.46,9.3,9.08,8.35,8.86,8.92,1.0,1.0,1.0,1.0,9.0,11.0,16.0,F,LONDRINA,IBIPORA,NORMAL,3.8,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10709994,0.0,0.0,-0.049340654,0.0,0.0,0.0,0.0,0.0,0.0022862367,-0.0034461238,-0.0063404962,-0.034060456,-0.0033616757,-0.030491553,-0.08677308,-0.020389382,-0.13434903,-0.007359945,-0.272711,-0.025270678,-0.13571916,0.007011937,-0.46237582,-0.089591235,-0.33620828,-0.0001551594,-0.5033868,-0.13439149,0.0,0.0,0.0,0.0,0.0,0.0069878413,-0.019581277,-0.00514892,-0.12448624,-0.010059283,-0.034961816,0.035907637,0.0005017807,-0.010304117,0.0,0.001489138,0.0,0.107699595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022913318,-2.0671852
3,911505908,0.008073143,0,41031857.0,2117586,7.68,7.1,8.23,6.75,7.97,8.2,7.96,7.35,7.44,7.65,7.95,7.45,7.8,8.45,7.73,7.85,1.0,1.0,1.0,1.0,8.0,10.0,15.0,F,LONDRINA,LONDRINA,NORMAL,0.53,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19027106,0.0,0.0,-0.040343087,0.0,0.0,0.0,0.0,0.0,0.0030901353,0.009338044,-0.0775152,-0.04131292,-0.0144459205,-0.05189027,-0.1065688,-0.011398218,-0.14364445,-0.06873682,-0.26341957,-0.08297641,-0.11731478,-0.010047501,-0.34749195,-0.084189154,-0.39392868,0.0026989994,-0.31894445,-0.11145277,0.0,0.0,0.0,0.0,0.0,-0.0017525726,-0.08140749,-0.005489754,-0.18667142,-0.012189022,-0.037358772,-0.032893043,-0.00019816811,-0.010207197,0.0,-0.0059484597,0.0,0.11541099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02445179,-2.0671852
4,1020016678,0.0010543728,0,41028457.0,1843870,7.18,6.25,7.57,7.25,7.12,6.3,7.29,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,16.0,Não informado,LONDRINA,CAMBE,NORMAL,1.59,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19162314,0.0,0.0,-0.06132785,0.0,0.0,0.0,0.0,0.0,0.0021109588,-0.013070204,0.026443532,-0.035903834,-0.02383063,-0.11726763,-0.1714486,-0.034397304,-0.29393566,-0.057738937,-0.57186145,-0.0823454,-0.11710448,0.034254808,-0.41672388,-0.2113639,-0.65493095,-0.012655188,-0.71028256,-0.15193468,0.0,0.0,0.0,0.0,0.0,0.0023709643,-0.21042979,-0.037209056,-0.3398075,-0.023348145,-0.118332915,-0.008084264,-0.034043323,-0.0056557525,0.0,-0.0033110417,0.0,-0.08288101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058900423,-2.0671852
5,1006600073,0.042902507,0,41029925.0,1984635,7.1,7.7,6.35,6.05,7.48,6.4,6.98,6.72,5.49,6.75,7.02,7.0,5.9,7.25,6.14,7.0,1.0,1.0,1.0,1.0,8.0,10.0,17.0,M,LONDRINA,LONDRINA,NORMAL,0.41,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054802835,0.0,0.0,-0.044221066,0.0,0.0,0.0,0.0,0.0,0.0062750773,0.02392448,-0.06585975,-0.029059693,-0.0026149473,-0.053865503,-0.069785714,-0.023457607,-0.11269619,-0.032445934,-0.15802118,-0.021434637,0.046734996,-0.015275752,-0.056217335,-0.09107558,-0.2445383,-0.011018204,0.110293925,-0.02614681,0.0,0.0,0.0,0.0,0.0,-0.0007429653,-0.021017997,-0.0071291174,-0.07462809,-0.012189014,-0.01862649,-0.02979108,0.011919742,-0.008717365,0.0,-0.003961899,0.0,-0.060062636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028596658,-2.0671852
6,1010445350,0.015136156,0,41033612.0,1982236,8.18,8.2,7.27,7.55,7.93,6.8,7.79,7.52,7.7,6.4,7.62,7.65,6.69,7.4,7.34,7.15,1.0,1.0,1.0,1.0,8.0,10.0,14.0,M,LONDRINA,ROLANDIA,CIV.MIL,7.82,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027693814,0.0,0.0,-0.043366104,0.0,0.0,0.0,0.0,0.0,-0.0013772645,0.014694037,-0.015912568,-0.039929032,-0.0038467294,-0.049613964,-0.10190221,-0.01966637,-0.16216113,-0.06960006,-0.20957409,-0.042544126,-0.086178765,-0.020283412,-0.22306158,-0.10123595,-0.27623627,0.0069343676,-0.2306476,-0.08560074,0.0,0.0,0.0,0.0,0.0,-0.0015553517,-0.0370575,-0.012825126,-0.12233411,-0.016324764,-0.046404738,-0.03889802,-0.0042436584,-0.007024391,0.0,-0.005027825,0.0,-0.07298867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010132247,-2.0671852
7,1007346090,0.0069045136,0,41029402.0,1989539,8.71,7.6,8.36,6.9,8.37,7.05,8.48,7.18,8.58,8.85,8.71,9.75,9.07,9.15,8.79,9.25,1.0,1.0,1.0,1.0,9.0,13.0,15.0,M,LONDRINA,IBIPORA,NORMAL,3.8,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10840046,0.0,0.0,-0.045756366,0.0,0.0,0.0,0.0,0.0,0.0018543141,0.0046134125,-0.00993969,-0.0399021,-0.008882786,-0.045548975,-0.085262336,-0.017734757,-0.14749692,-0.05207276,-0.24428499,-0.05613584,-0.13081132,0.01432773,-0.47392288,-0.117470756,-0.35408333,-0.00062832254,-0.5352043,-0.1145505,0.0,0.0,0.0,0.0,0.0,0.0074708443,-0.042023245,-0.010301436,-0.13520272,-0.017018253,-0.040664133,-0.023986131,-0.002104278,-0.009749333,0.0,0.0010378328,0.0,-0.06135187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00028038907,-2.0671852
8,1004650251,0.9551897,1,41032683.0,1981848,8.12,7.65,7.7,7.05,6.96,7.65,7.59,7.45,7.2,7.35,7.54,7.75,7.07,6.15,7.27,7.08,1.0,2.0,1.0,1.0,13.0,11.0,17.0,M,LONDRINA,LONDRINA,NORMAL,3.84,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20452172,0.0,0.0,0.0030204,0.0,0.0,0.0,0.0,0.0,0.004474731,0.06966992,0.004466466,0.22424588,0.029188348,0.06536957,0.2688398,0.09545154,0.3303806,0.06921931,0.41942245,0.098679505,0.28223902,0.07519649,0.30320862,0.16474299,0.66623247,0.02535709,0.63295865,0.045890078,0.0,0.0,0.0,0.0,0.0,0.0003125516,0.27043384,0.06796252,0.37781882,0.066525295,0.16642123,0.052234054,-0.0022715642,-0.007746764,0.0,-0.0010361358,0.0,-0.031446446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084673196,-2.0671852
9,1010479840,0.9478791,1,41144201.0,2009107,9.92,10.0,10.0,9.0,9.87,10.0,9.93,9.67,9.11,8.6,9.01,9.05,8.63,9.1,8.92,8.92,1.0,1.0,1.0,1.0,8.0,9.0,12.0,F,GUARAPUAVA,GUARAPUAVA,CAMPO,7.82,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31143355,0.0,0.0,0.016859608,0.0,0.0,0.0,0.0,0.0,-0.015043901,0.0070835203,0.0071871253,0.25383243,0.011205443,0.07218251,0.3026766,0.108191915,0.34584674,0.112744585,0.2889631,0.11989782,0.23227617,0.08299502,0.046938296,0.18121119,0.76201445,0.046479423,0.51606107,0.03483136,0.0,0.0,0.0,0.0,0.0,-0.0025679127,0.24370387,0.070533246,0.34398517,0.06699175,0.09477195,0.098361164,0.0012360386,-0.0067612794,0.0,0.001454258,0.0,0.11647232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09379687,-2.0671852
